relato_usuario,essencia_sugerida
"Tenho medo de andar de avião e do escuro",Mimulus
"Sinto uma angústia mas não sei explicar o motivo",Aspen
"Tenho pânico e terror noturno frequente",Rock Rose
"Não tenho mais esperanças que as coisas melhorem",Gorse
"Fico irritado com pessoas lentas",Impatiens
"Não consigo dizer não para meus amigos",Centaury
"Estou sempre sorrindo para esconder minha tristeza",Agrimony
"Faço tudo pela minha família e eles não me valorizam",Chicory
"Não consigo relaxar, preciso convencer todos das minhas ideias",Vervain
"Fico oscilando entre duas opções e não decido nada",Scleranthus
"Morro de medo de aranhas e insetos",Mimulus
"Acordo com uma sensação ruim de que algo vai acontecer",Aspen
"Fiquei paralisado de medo no acidente",Rock Rose
"Já tentei de tudo e nada funciona, desisti",Gorse
"Não tenho paciência para esperar em filas",Impatiens
"Faço tudo o que me pedem, mesmo sem querer",Centaury
"Odeio discussões, finjo que concordo para ter paz",Agrimony
"Só quero que meus filhos fiquem perto de mim",Chicory
"Fico indignado com injustiças e luto até o fim",Vervain
"Hoje acho uma coisa, amanhã acho outra",Scleranthus
"Tenho medo de ficar doente",Mimulus
"Sinto arrepios sem motivo aparente",Aspen
"Tenho ataques de pânico repentinos",Rock Rose
"Sinto que meu caso é perdido",Gorse
"Fico nervoso quando as coisas não andam no meu ritmo",Impatiens
"Deixo minhas vontades de lado para agradar",Centaury
"Bebo para esquecer meus problemas e relaxar",Agrimony
"Organizo a vida de todo mundo e ninguém agradece",Chicory
"Não consigo desligar minha mente, estou sempre militando",Vervain
"É uma tortura ter que escolher entre duas roupas",Scleranthus
"Sou muito tímido e tenho vergonha de falar em público",Mimulus
"Tenho um pressentimento ruim o tempo todo",Aspen
"Acordo gritando de terror",Rock Rose
"Não adianta tentar mais nada",Gorse
"Detesto gente que fala devagar",Impatiens
"Sou muito submisso nas relações",Centaury
"Faço piada dos meus problemas para não preocupar ninguém",Agrimony
"Me sinto magoada quando não seguem meus conselhos",Chicory
"Fico exausto de tanto tentar converter as pessoas",Vervain
